iter	Passed	Remaining
0	1	125
1	1	88
2	2	68
3	2	63
4	3	59
5	3	56
6	4	55
7	4	53
8	5	52
9	5	51
10	5	48
11	6	47
12	6	44
13	7	44
14	7	43
15	8	43
16	8	42
17	9	42
18	9	41
19	10	41
20	10	40
21	11	40
22	11	39
23	12	39
24	12	38
25	13	38
26	13	37
27	14	37
28	14	36
29	15	36
30	16	35
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	30
42	22	29
43	22	29
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	15
71	37	14
72	37	14
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	43	8
83	43	8
84	44	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	50	1
97	50	1
98	51	0
99	51	0
